Données 2021;Personnes scolarisées;% de la population scolarisée;Moyenne des villes;code_insee;Ville;type
Baccalauréat / brevet professionnel;15 915;15,6 %;18,8 %;13001;aix-en-provence;Non scolarisés
De Bac +2 à Bac +4;25 830;25,2 %;19,8 %;13001;aix-en-provence;Non scolarisés
Bac +5 et plus;27 300;26,7 %;6,5 %;13001;aix-en-provence;Non scolarisés
2 - 5 ans;659;13,9 %;15,6 %;13002;allauch;Scolarisés
6 - 10 ans;1 361;28,7 %;29,2 %;13002;allauch;Scolarisés
11 - 14 ans;940;19,8 %;24,9 %;13002;allauch;Scolarisés
15 - 17 ans;757;15,9 %;18,4 %;13002;allauch;Scolarisés
18 - 24 ans;809;17,0 %;9,1 %;13002;allauch;Scolarisés
25 - 29 ans;71;1,5 %;0,7 %;13002;allauch;Scolarisés
30 ans et plus;151;3,2 %;2,2 %;13002;allauch;Scolarisés
Aucun diplôme;2 335;14,5 %;20,2 %;13002;allauch;Non scolarisés
Brevet des collèges;828;5,1 %;5,5 %;13002;allauch;Non scolarisés
CAP / BEP;3 449;21,4 %;29,3 %;13002;allauch;Non scolarisés
Baccalauréat / brevet professionnel;2 816;17,4 %;18,8 %;13002;allauch;Non scolarisés
De Bac +2 à Bac +4;4 499;27,9 %;19,8 %;13002;allauch;Non scolarisés
Bac +5 et plus;2 215;13,7 %;6,5 %;13002;allauch;Non scolarisés
2 - 5 ans;1 451;14,0 %;15,6 %;13004;arles;Scolarisés
6 - 10 ans;2 728;26,3 %;29,2 %;13004;arles;Scolarisés
11 - 14 ans;2 333;22,4 %;24,9 %;13004;arles;Scolarisés
15 - 17 ans;1 786;17,2 %;18,4 %;13004;arles;Scolarisés
18 - 24 ans;1 665;16,0 %;9,1 %;13004;arles;Scolarisés
25 - 29 ans;162;1,6 %;0,7 %;13004;arles;Scolarisés
30 ans et plus;267;2,6 %;2,2 %;13004;arles;Scolarisés
Aucun diplôme;9 824;25,5 %;20,2 %;13004;arles;Non scolarisés
Brevet des collèges;1 840;4,8 %;5,5 %;13004;arles;Non scolarisés
CAP / BEP;9 094;23,6 %;29,3 %;13004;arles;Non scolarisés
Baccalauréat / brevet professionnel;6 652;17,3 %;18,8 %;13004;arles;Non scolarisés
De Bac +2 à Bac +4;7 746;20,1 %;19,8 %;13004;arles;Non scolarisés
Bac +5 et plus;3 311;8,6 %;6,5 %;13004;arles;Non scolarisés
2 - 5 ans;1 465;14,1 %;15,6 %;13005;aubagne;Scolarisés
6 - 10 ans;2 754;26,5 %;29,2 %;13005;aubagne;Scolarisés
11 - 14 ans;2 288;22,0 %;24,9 %;13005;aubagne;Scolarisés
15 - 17 ans;1 800;17,3 %;18,4 %;13005;aubagne;Scolarisés
18 - 24 ans;1 574;15,2 %;9,1 %;13005;aubagne;Scolarisés
25 - 29 ans;177;1,7 %;0,7 %;13005;aubagne;Scolarisés
30 ans et plus;331;3,2 %;2,2 %;13005;aubagne;Scolarisés
Aucun diplôme;7 811;22,1 %;20,2 %;13005;aubagne;Non scolarisés
Brevet des collèges;2 046;5,8 %;5,5 %;13005;aubagne;Non scolarisés
CAP / BEP;8 349;23,6 %;29,3 %;13005;aubagne;Non scolarisés
Baccalauréat / brevet professionnel;6 474;18,3 %;18,8 %;13005;aubagne;Non scolarisés
De Bac +2 à Bac +4;7 359;20,8 %;19,8 %;13005;aubagne;Non scolarisés
Bac +5 et plus;3 349;9,5 %;6,5 %;13005;aubagne;Non scolarisés
2 - 5 ans;873;13,3 %;15,6 %;13028;la-ciotat;Scolarisés
6 - 10 ans;1 741;26,4 %;29,2 %;13028;la-ciotat;Scolarisés
11 - 14 ans;1 455;22,1 %;24,9 %;13028;la-ciotat;Scolarisés
15 - 17 ans;1 086;16,5 %;18,4 %;13028;la-ciotat;Scolarisés
18 - 24 ans;1 039;15,8 %;9,1 %;13028;la-ciotat;Scolarisés
25 - 29 ans;152;2,3 %;0,7 %;13028;la-ciotat;Scolarisés
30 ans et plus;242;3,7 %;2,2 %;13028;la-ciotat;Scolarisés
Aucun diplôme;5 839;19,9 %;20,2 %;13028;la-ciotat;Non scolarisés
Brevet des collèges;1 774;6,0 %;5,5 %;13028;la-ciotat;Non scolarisés
CAP / BEP;6 883;23,4 %;29,3 %;13028;la-ciotat;Non scolarisés
Baccalauréat / brevet professionnel;5 220;17,8 %;18,8 %;13028;la-ciotat;Non scolarisés
De Bac +2 à Bac +4;6 258;21,3 %;19,8 %;13028;la-ciotat;Non scolarisés
Bac +5 et plus;3 434;11,7 %;6,5 %;13028;la-ciotat;Non scolarisés
2 - 5 ans;735;15,8 %;15,6 %;13041;gardanne;Scolarisés
6 - 10 ans;1 291;27,8 %;29,2 %;13041;gardanne;Scolarisés
11 - 14 ans;886;19,1 %;24,9 %;13041;gardanne;Scolarisés
15 - 17 ans;663;14,3 %;18,4 %;13041;gardanne;Scolarisés
18 - 24 ans;873;18,8 %;9,1 %;13041;gardanne;Scolarisés
25 - 29 ans;85;1,8 %;0,7 %;13041;gardanne;Scolarisés
30 ans et plus;111;2,4 %;2,2 %;13041;gardanne;Scolarisés
Aucun diplôme;3 331;21,1 %;20,2 %;13041;gardanne;Non scolarisés
Brevet des collèges;762;4,8 %;5,5 %;13041;gardanne;Non scolarisés
CAP / BEP;4 104;26,0 %;29,3 %;13041;gardanne;Non scolarisés
Baccalauréat / brevet professionnel;2 785;17,6 %;18,8 %;13041;gardanne;Non scolarisés
De Bac +2 à Bac +4;3 347;21,2 %;19,8 %;13041;gardanne;Non scolarisés
Bac +5 et plus;1 467;9,3 %;6,5 %;13041;gardanne;Non scolarisés
2 - 5 ans;1 498;15,8 %;15,6 %;13047;istres;Scolarisés
6 - 10 ans;2 774;29,3 %;29,2 %;13047;istres;Scolarisés
11 - 14 ans;2 295;24,3 %;24,9 %;13047;istres;Scolarisés
15 - 17 ans;1 540;16,3 %;18,4 %;13047;istres;Scolarisés
18 - 24 ans;1 030;10,9 %;9,1 %;13047;istres;Scolarisés
25 - 29 ans;74;0,8 %;0,7 %;13047;istres;Scolarisés
30 ans et plus;248;2,6 %;2,2 %;13047;istres;Scolarisés
Aucun diplôme;5 898;17,6 %;20,2 %;13047;istres;Non scolarisés
Brevet des collèges;1 935;5,8 %;5,5 %;13047;istres;Non scolarisés
CAP / BEP;8 551;25,5 %;29,3 %;13047;istres;Non scolarisés
Baccalauréat / brevet professionnel;7 595;22,6 %;18,8 %;13047;istres;Non scolarisés
De Bac +2 à Bac +4;7 274;21,7 %;19,8 %;13047;istres;Non scolarisés
Bac +5 et plus;2 313;6,9 %;6,5 %;13047;istres;Non scolarisés
2 - 5 ans;1 025;14,8 %;15,6 %;13054;marignane;Scolarisés
6 - 10 ans;2 071;29,9 %;29,2 %;13054;marignane;Scolarisés
11 - 14 ans;1 614;23,3 %;24,9 %;13054;marignane;Scolarisés
15 - 17 ans;994;14,4 %;18,4 %;13054;marignane;Scolarisés
18 - 24 ans;917;13,2 %;9,1 %;13054;marignane;Scolarisés
25 - 29 ans;86;1,2 %;0,7 %;13054;marignane;Scolarisés
30 ans et plus;219;3,2 %;2,2 %;13054;marignane;Scolarisés
Aucun diplôme;5 739;23,2 %;20,2 %;13054;marignane;Non scolarisés
Brevet des collèges;1 389;5,6 %;5,5 %;13054;marignane;Non scolarisés
CAP / BEP;6 522;26,4 %;29,3 %;13054;marignane;Non scolarisés
Baccalauréat / brevet professionnel;4 817;19,5 %;18,8 %;13054;marignane;Non scolarisés
De Bac +2 à Bac +4;4 585;18,6 %;19,8 %;13054;marignane;Non scolarisés
Bac +5 et plus;1 651;6,7 %;6,5 %;13054;marignane;Non scolarisés
2 - 5 ans;30 796;14,4 %;15,6 %;13055;marseille;Scolarisés
6 - 10 ans;50 186;23,5 %;29,2 %;13055;marseille;Scolarisés
11 - 14 ans;39 416;18,5 %;24,9 %;13055;marseille;Scolarisés
15 - 17 ans;27 937;13,1 %;18,4 %;13055;marseille;Scolarisés
18 - 24 ans;50 152;23,5 %;9,1 %;13055;marseille;Scolarisés
25 - 29 ans;7 579;3,6 %;0,7 %;13055;marseille;Scolarisés
30 ans et plus;7 137;3,3 %;2,2 %;13055;marseille;Scolarisés
Aucun diplôme;144 444;23,1 %;20,2 %;13055;marseille;Non scolarisés
Brevet des collèges;35 044;5,6 %;5,5 %;13055;marseille;Non scolarisés
CAP / BEP;118 939;19,0 %;29,3 %;13055;marseille;Non scolarisés
Baccalauréat / brevet professionnel;107 770;17,2 %;18,8 %;13055;marseille;Non scolarisés
De Bac +2 à Bac +4;129 081;20,6 %;19,8 %;13055;marseille;Non scolarisés
Bac +5 et plus;89 986;14,4 %;6,5 %;13055;marseille;Non scolarisés
2 - 5 ans;1 724;16,9 %;15,6 %;13056;martigues;Scolarisés
6 - 10 ans;2 896;28,3 %;29,2 %;13056;martigues;Scolarisés
11 - 14 ans;2 258;22,1 %;24,9 %;13056;martigues;Scolarisés
15 - 17 ans;1 680;16,4 %;18,4 %;13056;martigues;Scolarisés
18 - 24 ans;1 270;12,4 %;9,1 %;13056;martigues;Scolarisés
25 - 29 ans;122;1,2 %;0,7 %;13056;martigues;Scolarisés
30 ans et plus;273;2,7 %;2,2 %;13056;martigues;Scolarisés
Aucun diplôme;8 425;22,9 %;20,2 %;13056;martigues;Non scolarisés
Brevet des collèges;2 128;5,8 %;5,5 %;13056;martigues;Non scolarisés
CAP / BEP;9 220;25,1 %;29,3 %;13056;martigues;Non scolarisés
Baccalauréat / brevet professionnel;6 577;17,9 %;18,8 %;13056;martigues;Non scolarisés
De Bac +2 à Bac +4;7 482;20,4 %;19,8 %;13056;martigues;Non scolarisés
Bac +5 et plus;2 922;8,0 %;6,5 %;13056;martigues;Non scolarisés
2 - 5 ans;1 001;16,6 %;15,6 %;13063;miramas;Scolarisés
6 - 10 ans;1 816;30,1 %;29,2 %;13063;miramas;Scolarisés
11 - 14 ans;1 435;23,8 %;24,9 %;13063;miramas;Scolarisés
15 - 17 ans;917;15,2 %;18,4 %;13063;miramas;Scolarisés
18 - 24 ans;682;11,3 %;9,1 %;13063;miramas;Scolarisés
25 - 29 ans;39;0,6 %;0,7 %;13063;miramas;Scolarisés
30 ans et plus;135;2,2 %;2,2 %;13063;miramas;Scolarisés
Aucun diplôme;5 467;28,5 %;20,2 %;13063;miramas;Non scolarisés
Brevet des collèges;958;5,0 %;5,5 %;13063;miramas;Non scolarisés
CAP / BEP;5 049;26,3 %;29,3 %;13063;miramas;Non scolarisés
Baccalauréat / brevet professionnel;3 683;19,2 %;18,8 %;13063;miramas;Non scolarisés
De Bac +2 à Bac +4;3 182;16,6 %;19,8 %;13063;miramas;Non scolarisés
Bac +5 et plus;857;4,5 %;6,5 %;13063;miramas;Non scolarisés
2 - 5 ans;716;14,7 %;15,6 %;13071;les-pennes-mirabeau;Scolarisés
6 - 10 ans;1 375;28,3 %;29,2 %;13071;les-pennes-mirabeau;Scolarisés
11 - 14 ans;1 016;20,9 %;24,9 %;13071;les-pennes-mirabeau;Scolarisés
15 - 17 ans;756;15,6 %;18,4 %;13071;les-pennes-mirabeau;Scolarisés
18 - 24 ans;793;16,3 %;9,1 %;13071;les-pennes-mirabeau;Scolarisés
25 - 29 ans;53;1,1 %;0,7 %;13071;les-pennes-mirabeau;Scolarisés
30 ans et plus;146;3,0 %;2,2 %;13071;les-pennes-mirabeau;Scolarisés
Aucun diplôme;2 902;17,5 %;20,2 %;13071;les-pennes-mirabeau;Non scolarisés
Brevet des collèges;978;5,9 %;5,5 %;13071;les-pennes-mirabeau;Non scolarisés
CAP / BEP;4 172;25,2 %;29,3 %;13071;les-pennes-mirabeau;Non scolarisés
Baccalauréat / brevet professionnel;2 982;18,0 %;18,8 %;13071;les-pennes-mirabeau;Non scolarisés
De Bac +2 à Bac +4;3 760;22,7 %;19,8 %;13071;les-pennes-mirabeau;Non scolarisés
Bac +5 et plus;1 762;10,6 %;6,5 %;13071;les-pennes-mirabeau;Non scolarisés
2 - 5 ans;1 509;15,7 %;15,6 %;13103;salon-de-provence;Scolarisés
6 - 10 ans;2 553;26,6 %;29,2 %;13103;salon-de-provence;Scolarisés
11 - 14 ans;2 036;21,2 %;24,9 %;13103;salon-de-provence;Scolarisés
15 - 17 ans;1 502;15,6 %;18,4 %;13103;salon-de-provence;Scolarisés
18 - 24 ans;1 415;14,7 %;9,1 %;13103;salon-de-provence;Scolarisés
25 - 29 ans;287;3,0 %;0,7 %;13103;salon-de-provence;Scolarisés
30 ans et plus;310;3,2 %;2,2 %;13103;salon-de-provence;Scolarisés
Aucun diplôme;6 578;19,6 %;20,2 %;13103;salon-de-provence;Non scolarisés
Brevet des collèges;1 996;5,9 %;5,5 %;13103;salon-de-provence;Non scolarisés
CAP / BEP;7 316;21,8 %;29,3 %;13103;salon-de-provence;Non scolarisés
Baccalauréat / brevet professionnel;6 367;19,0 %;18,8 %;13103;salon-de-provence;Non scolarisés
De Bac +2 à Bac +4;7 595;22,6 %;19,8 %;13103;salon-de-provence;Non scolarisés
Bac +5 et plus;3 729;11,1 %;6,5 %;13103;salon-de-provence;Non scolarisés
2 - 5 ans;1 545;17,5 %;15,6 %;13117;vitrolles;Scolarisés
6 - 10 ans;2 366;26,9 %;29,2 %;13117;vitrolles;Scolarisés
11 - 14 ans;1 937;22,0 %;24,9 %;13117;vitrolles;Scolarisés
15 - 17 ans;1 343;15,3 %;18,4 %;13117;vitrolles;Scolarisés
18 - 24 ans;1 254;14,2 %;9,1 %;13117;vitrolles;Scolarisés
25 - 29 ans;107;1,2 %;0,7 %;13117;vitrolles;Scolarisés
30 ans et plus;254;2,9 %;2,2 %;13117;vitrolles;Scolarisés
Aucun diplôme;5 620;22,4 %;20,2 %;13117;vitrolles;Non scolarisés
Brevet des collèges;1 397;5,6 %;5,5 %;13117;vitrolles;Non scolarisés
CAP / BEP;6 158;24,5 %;29,3 %;13117;vitrolles;Non scolarisés
Baccalauréat / brevet professionnel;4 483;17,8 %;18,8 %;13117;vitrolles;Non scolarisés
De Bac +2 à Bac +4;5 272;21,0 %;19,8 %;13117;vitrolles;Non scolarisés
Bac +5 et plus;2 210;8,8 %;6,5 %;13117;vitrolles;Non scolarisés
2 - 5 ans;2 548;7,5 %;15,6 %;14118;caen;Scolarisés
6 - 10 ans;4 380;13,0 %;29,2 %;14118;caen;Scolarisés
11 - 14 ans;3 374;10,0 %;24,9 %;14118;caen;Scolarisés
15 - 17 ans;3 044;9,0 %;18,4 %;14118;caen;Scolarisés
18 - 24 ans;17 198;51,0 %;9,1 %;14118;caen;Scolarisés
25 - 29 ans;2 107;6,2 %;0,7 %;14118;caen;Scolarisés
30 ans et plus;1 103;3,3 %;2,2 %;14118;caen;Scolarisés
Aucun diplôme;13 292;18,6 %;20,2 %;14118;caen;Non scolarisés
Brevet des collèges;3 763;5,3 %;5,5 %;14118;caen;Non scolarisés
CAP / BEP;13 112;18,4 %;29,3 %;14118;caen;Non scolarisés
Baccalauréat / brevet professionnel;10 866;15,2 %;18,8 %;14118;caen;Non scolarisés
De Bac +2 à Bac +4;17 226;24,1 %;19,8 %;14118;caen;Non scolarisés
Bac +5 et plus;13 088;18,3 %;6,5 %;14118;caen;Non scolarisés
2 - 5 ans;756;11,8 %;15,6 %;14327;herouville-saint-clair;Scolarisés
6 - 10 ans;1 261;19,7 %;29,2 %;14327;herouville-saint-clair;Scolarisés
11 - 14 ans;903;14,1 %;24,9 %;14327;herouville-saint-clair;Scolarisés
15 - 17 ans;670;10,5 %;18,4 %;14327;herouville-saint-clair;Scolarisés
18 - 24 ans;2 296;35,8 %;9,1 %;14327;herouville-saint-clair;Scolarisés
25 - 29 ans;345;5,4 %;0,7 %;14327;herouville-saint-clair;Scolarisés
30 ans et plus;175;2,7 %;2,2 %;14327;herouville-saint-clair;Scolarisés
Aucun diplôme;3 256;21,7 %;20,2 %;14327;herouville-saint-clair;Non scolarisés
Brevet des collèges;914;6,1 %;5,5 %;14327;herouville-saint-clair;Non scolarisés
CAP / BEP;3 766;25,0 %;29,3 %;14327;herouville-saint-clair;Non scolarisés
Baccalauréat / brevet professionnel;2 655;17,7 %;18,8 %;14327;herouville-saint-clair;Non scolarisés
De Bac +2 à Bac +4;3 010;20,0 %;19,8 %;14327;herouville-saint-clair;Non scolarisés
Bac +5 et plus;1 437;9,6 %;6,5 %;14327;herouville-saint-clair;Non scolarisés
2 - 5 ans;547;11,3 %;15,6 %;15014;aurillac;Scolarisés
6 - 10 ans;1 077;22,2 %;29,2 %;15014;aurillac;Scolarisés
11 - 14 ans;917;18,9 %;24,9 %;15014;aurillac;Scolarisés
15 - 17 ans;749;15,4 %;18,4 %;15014;aurillac;Scolarisés
18 - 24 ans;1 348;27,8 %;9,1 %;15014;aurillac;Scolarisés
25 - 29 ans;76;1,6 %;0,7 %;15014;aurillac;Scolarisés
30 ans et plus;135;2,8 %;2,2 %;15014;aurillac;Scolarisés
Aucun diplôme;4 320;21,2 %;20,2 %;15014;aurillac;Non scolarisés
Brevet des collèges;1 625;8,0 %;5,5 %;15014;aurillac;Non scolarisés
CAP / BEP;4 902;24,0 %;29,3 %;15014;aurillac;Non scolarisés
Baccalauréat / brevet professionnel;3 901;19,1 %;18,8 %;15014;aurillac;Non scolarisés
De Bac +2 à Bac +4;4 021;19,7 %;19,8 %;15014;aurillac;Non scolarisés
Bac +5 et plus;1 624;8,0 %;6,5 %;15014;aurillac;Non scolarisés
2 - 5 ans;1 132;12,3 %;15,6 %;16015;angouleme;Scolarisés
6 - 10 ans;1 899;20,6 %;29,2 %;16015;angouleme;Scolarisés
11 - 14 ans;1 566;17,0 %;24,9 %;16015;angouleme;Scolarisés
15 - 17 ans;1 269;13,8 %;18,4 %;16015;angouleme;Scolarisés
18 - 24 ans;2 779;30,1 %;9,1 %;16015;angouleme;Scolarisés
25 - 29 ans;257;2,8 %;0,7 %;16015;angouleme;Scolarisés
30 ans et plus;319;3,5 %;2,2 %;16015;angouleme;Scolarisés
Aucun diplôme;5 828;19,1 %;20,2 %;16015;angouleme;Non scolarisés
Brevet des collèges;1 601;5,2 %;5,5 %;16015;angouleme;Non scolarisés
CAP / BEP;6 880;22,5 %;29,3 %;16015;angouleme;Non scolarisés
Baccalauréat / brevet professionnel;5 550;18,2 %;18,8 %;16015;angouleme;Non scolarisés
De Bac +2 à Bac +4;6 909;22,6 %;19,8 %;16015;angouleme;Non scolarisés
Bac +5 et plus;3 782;12,4 %;6,5 %;16015;angouleme;Non scolarisés
2 - 5 ans;506;12,1 %;15,6 %;17299;rochefort;Scolarisés
6 - 10 ans;1 082;25,9 %;29,2 %;17299;rochefort;Scolarisés
11 - 14 ans;918;22,0 %;24,9 %;17299;rochefort;Scolarisés
15 - 17 ans;783;18,8 %;18,4 %;17299;rochefort;Scolarisés
18 - 24 ans;679;16,3 %;9,1 %;17299;rochefort;Scolarisés
25 - 29 ans;56;1,3 %;0,7 %;17299;rochefort;Scolarisés
30 ans et plus;150;3,6 %;2,2 %;17299;rochefort;Scolarisés
Aucun diplôme;4 308;23,4 %;20,2 %;17299;rochefort;Non scolarisés
Brevet des collèges;1 099;6,0 %;5,5 %;17299;rochefort;Non scolarisés
CAP / BEP;5 341;29,0 %;29,3 %;17299;rochefort;Non scolarisés
Baccalauréat / brevet professionnel;3 175;17,2 %;18,8 %;17299;rochefort;Non scolarisés
De Bac +2 à Bac +4;3 203;17,4 %;19,8 %;17299;rochefort;Non scolarisés
Bac +5 et plus;1 298;7,0 %;6,5 %;17299;rochefort;Non scolarisés
2 - 5 ans;1 887;9,7 %;15,6 %;17300;la-rochelle;Scolarisés
6 - 10 ans;3 322;17,1 %;29,2 %;17300;la-rochelle;Scolarisés
11 - 14 ans;2 880;14,8 %;24,9 %;17300;la-rochelle;Scolarisés
15 - 17 ans;2 380;12,2 %;18,4 %;17300;la-rochelle;Scolarisés
18 - 24 ans;7 767;39,9 %;9,1 %;17300;la-rochelle;Scolarisés
25 - 29 ans;632;3,2 %;0,7 %;17300;la-rochelle;Scolarisés
30 ans et plus;589;3,0 %;2,2 %;17300;la-rochelle;Scolarisés
Aucun diplôme;9 567;16,8 %;20,2 %;17300;la-rochelle;Non scolarisés
Brevet des collèges;3 299;5,8 %;5,5 %;17300;la-rochelle;Non scolarisés
CAP / BEP;12 532;22,0 %;29,3 %;17300;la-rochelle;Non scolarisés
Baccalauréat / brevet professionnel;9 710;17,1 %;18,8 %;17300;la-rochelle;Non scolarisés
De Bac +2 à Bac +4;13 233;23,3 %;19,8 %;17300;la-rochelle;Non scolarisés
Bac +5 et plus;8 561;15,0 %;6,5 %;17300;la-rochelle;Non scolarisés
2 - 5 ans;512;11,6 %;15,6 %;17415;saintes;Scolarisés
6 - 10 ans;1 137;25,7 %;29,2 %;17415;saintes;Scolarisés
11 - 14 ans;935;21,1 %;24,9 %;17415;saintes;Scolarisés
15 - 17 ans;898;20,3 %;18,4 %;17415;saintes;Scolarisés
18 - 24 ans;746;16,9 %;9,1 %;17415;saintes;Scolarisés
25 - 29 ans;89;2,0 %;0,7 %;17415;saintes;Scolarisés
30 ans et plus;106;2,4 %;2,2 %;17415;saintes;Scolarisés
Aucun diplôme;4 406;21,5 %;20,2 %;17415;saintes;Non scolarisés
Brevet des collèges;1 395;6,8 %;5,5 %;17415;saintes;Non scolarisés
CAP / BEP;5 166;25,2 %;29,3 %;17415;saintes;Non scolarisés
Baccalauréat / brevet professionnel;3 427;16,7 %;18,8 %;17415;saintes;Non scolarisés
De Bac +2 à Bac +4;4 076;19,9 %;19,8 %;17415;saintes;Non scolarisés
Bac +5 et plus;2 023;9,9 %;6,5 %;17415;saintes;Non scolarisés
2 - 5 ans;1 900;13,8 %;15,6 %;18033;bourges;Scolarisés
6 - 10 ans;3 224;23,4 %;29,2 %;18033;bourges;Scolarisés
11 - 14 ans;2 607;18,9 %;24,9 %;18033;bourges;Scolarisés
15 - 17 ans;2 181;15,8 %;18,4 %;18033;bourges;Scolarisés
18 - 24 ans;3 194;23,1 %;9,1 %;18033;bourges;Scolarisés
25 - 29 ans;267;1,9 %;0,7 %;18033;bourges;Scolarisés
30 ans et plus;434;3,1 %;2,2 %;18033;bourges;Scolarisés
Aucun diplôme;9 715;20,3 %;20,2 %;18033;bourges;Non scolarisés
Brevet des collèges;2 568;5,4 %;5,5 %;18033;bourges;Non scolarisés
CAP / BEP;12 000;25,1 %;29,3 %;18033;bourges;Non scolarisés
Baccalauréat / brevet professionnel;8 143;17,0 %;18,8 %;18033;bourges;Non scolarisés
De Bac +2 à Bac +4;10 177;21,3 %;19,8 %;18033;bourges;Non scolarisés
Bac +5 et plus;5 221;10,9 %;6,5 %;18033;bourges;Non scolarisés
2 - 5 ans;700;15,3 %;15,6 %;18279;vierzon;Scolarisés
6 - 10 ans;1 274;27,8 %;29,2 %;18279;vierzon;Scolarisés
11 - 14 ans;1 149;25,0 %;24,9 %;18279;vierzon;Scolarisés
15 - 17 ans;852;18,6 %;18,4 %;18279;vierzon;Scolarisés
18 - 24 ans;467;10,2 %;9,1 %;18279;vierzon;Scolarisés
25 - 29 ans;28;0,6 %;0,7 %;18279;vierzon;Scolarisés
30 ans et plus;119;2,6 %;2,2 %;18279;vierzon;Scolarisés
Aucun diplôme;6 577;33,0 %;20,2 %;18279;vierzon;Non scolarisés
Brevet des collèges;1 114;5,6 %;5,5 %;18279;vierzon;Non scolarisés
CAP / BEP;5 934;29,8 %;29,3 %;18279;vierzon;Non scolarisés
Baccalauréat / brevet professionnel;2 993;15,0 %;18,8 %;18279;vierzon;Non scolarisés
De Bac +2 à Bac +4;2 413;12,1 %;19,8 %;18279;vierzon;Non scolarisés
Bac +5 et plus;895;4,5 %;6,5 %;18279;vierzon;Non scolarisés
2 - 5 ans;1 159;12,8 %;15,6 %;19031;brive-la-gaillarde;Scolarisés
6 - 10 ans;2 222;24,6 %;29,2 %;19031;brive-la-gaillarde;Scolarisés
11 - 14 ans;1 842;20,4 %;24,9 %;19031;brive-la-gaillarde;Scolarisés
15 - 17 ans;1 607;17,8 %;18,4 %;19031;brive-la-gaillarde;Scolarisés
18 - 24 ans;1 814;20,0 %;9,1 %;19031;brive-la-gaillarde;Scolarisés
25 - 29 ans;155;1,7 %;0,7 %;19031;brive-la-gaillarde;Scolarisés
30 ans et plus;250;2,8 %;2,2 %;19031;brive-la-gaillarde;Scolarisés
Aucun diplôme;8 206;22,6 %;20,2 %;19031;brive-la-gaillarde;Non scolarisés
Brevet des collèges;2 427;6,7 %;5,5 %;19031;brive-la-gaillarde;Non scolarisés
CAP / BEP;8 888;24,4 %;29,3 %;19031;brive-la-gaillarde;Non scolarisés
Baccalauréat / brevet professionnel;6 864;18,9 %;18,8 %;19031;brive-la-gaillarde;Non scolarisés
De Bac +2 à Bac +4;7 056;19,4 %;19,8 %;19031;brive-la-gaillarde;Non scolarisés
Bac +5 et plus;2 912;8,0 %;6,5 %;19031;brive-la-gaillarde;Non scolarisés
2 - 5 ans;446;12,3 %;15,6 %;21054;beaune;Scolarisés
6 - 10 ans;951;26,1 %;29,2 %;21054;beaune;Scolarisés
11 - 14 ans;777;21,4 %;24,9 %;21054;beaune;Scolarisés
15 - 17 ans;721;19,8 %;18,4 %;21054;beaune;Scolarisés
18 - 24 ans;568;15,6 %;9,1 %;21054;beaune;Scolarisés
25 - 29 ans;70;1,9 %;0,7 %;21054;beaune;Scolarisés
30 ans et plus;105;2,9 %;2,2 %;21054;beaune;Scolarisés
Aucun diplôme;3 946;24,9 %;20,2 %;21054;beaune;Non scolarisés
Brevet des collèges;885;5,6 %;5,5 %;21054;beaune;Non scolarisés
CAP / BEP;3 959;25,0 %;29,3 %;21054;beaune;Non scolarisés
Baccalauréat / brevet professionnel;2 471;15,6 %;18,8 %;21054;beaune;Non scolarisés
De Bac +2 à Bac +4;3 054;19,3 %;19,8 %;21054;beaune;Non scolarisés
Bac +5 et plus;1 511;9,5 %;6,5 %;21054;beaune;Non scolarisés
2 - 5 ans;4 079;8,9 %;15,6 %;21231;dijon;Scolarisés
6 - 10 ans;6 412;14,0 %;29,2 %;21231;dijon;Scolarisés
11 - 14 ans;5 490;12,0 %;24,9 %;21231;dijon;Scolarisés
15 - 17 ans;4 208;9,2 %;18,4 %;21231;dijon;Scolarisés
18 - 24 ans;21 387;46,8 %;9,1 %;21231;dijon;Scolarisés
25 - 29 ans;2 540;5,6 %;0,7 %;21231;dijon;Scolarisés
30 ans et plus;1 568;3,4 %;2,2 %;21231;dijon;Scolarisés
Aucun diplôme;18 472;17,0 %;20,2 %;21231;dijon;Non scolarisés
Brevet des collèges;5 426;5,0 %;5,5 %;21231;dijon;Non scolarisés
CAP / BEP;20 212;18,6 %;29,3 %;21231;dijon;Non scolarisés
Baccalauréat / brevet professionnel;19 308;17,8 %;18,8 %;21231;dijon;Non scolarisés
De Bac +2 à Bac +4;26 960;24,8 %;19,8 %;21231;dijon;Non scolarisés
Bac +5 et plus;18 250;16,8 %;6,5 %;21231;dijon;Non scolarisés
2 - 5 ans;500;10,2 %;15,6 %;22113;lannion;Scolarisés
6 - 10 ans;968;19,8 %;29,2 %;22113;lannion;Scolarisés
11 - 14 ans;1 008;20,6 %;24,9 %;22113;lannion;Scolarisés
15 - 17 ans;789;16,1 %;18,4 %;22113;lannion;Scolarisés
18 - 24 ans;1 434;29,3 %;9,1 %;22113;lannion;Scolarisés
25 - 29 ans;79;1,6 %;0,7 %;22113;lannion;Scolarisés
30 ans et plus;121;2,5 %;2,2 %;22113;lannion;Scolarisés
Aucun diplôme;2 376;15,9 %;20,2 %;22113;lannion;Non scolarisés
Brevet des collèges;856;5,7 %;5,5 %;22113;lannion;Non scolarisés
CAP / BEP;3 416;22,8 %;29,3 %;22113;lannion;Non scolarisés
