Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Logements vacants,1 507,"7,3",2 028,"9,5",2 026,"8,7",57672,thionville
,,,,,,,57672,thionville
Maisons,5 480,"26,4",5 610,"26,4",6 113,"26,2",57672,thionville
Appartements,15 102,"72,9",15 593,"73,3",17 148,"73,4",57672,thionville
Ensemble,22 577,"100,0",22 374,"100,0",22 075,"100,0",58194,nevers
Résidences principales,18 717,"82,9",17 973,"80,3",17 910,"81,1",58194,nevers
Résidences secondaires et logements occasionnels,572,"2,5",488,"2,2",769,"3,5",58194,nevers
Logements vacants,3 288,"14,6",3 912,"17,5",3 395,"15,4",58194,nevers
,,,,,,,58194,nevers
Maisons,7 081,"31,4",6 980,"31,2",7 227,"32,7",58194,nevers
Appartements,15 303,"67,8",15 250,"68,2",14 695,"66,6",58194,nevers
Ensemble,25 487,"100,0",26 659,"100,0",29 689,"100,0",59009,villeneuve-d-ascq
Résidences principales,24 704,"96,9",25 268,"94,8",27 582,"92,9",59009,villeneuve-d-ascq
Résidences secondaires et logements occasionnels,52,"0,2",326,"1,2",912,"3,1",59009,villeneuve-d-ascq
Logements vacants,731,"2,9",1 064,"4,0",1 194,"4,0",59009,villeneuve-d-ascq
,,,,,,,59009,villeneuve-d-ascq
Maisons,11 265,"44,2",11 722,"44,0",12 096,"40,7",59009,villeneuve-d-ascq
Appartements,13 840,"54,3",14 563,"54,6",16 792,"56,6",59009,villeneuve-d-ascq
Ensemble,11 277,"100,0",11 838,"100,0",12 687,"100,0",59017,armentieres
Résidences principales,10 295,"91,3",10 556,"89,2",11 444,"90,2",59017,armentieres
Résidences secondaires et logements occasionnels,36,"0,3",43,"0,4",102,"0,8",59017,armentieres
Logements vacants,947,"8,4",1 239,"10,5",1 141,"9,0",59017,armentieres
,,,,,,,59017,armentieres
Maisons,7 083,"62,8",6 810,"57,5",7 009,"55,2",59017,armentieres
Appartements,4 054,"35,9",4 925,"41,6",5 645,"44,5",59017,armentieres
Ensemble,16 857,"100,0",18 062,"100,0",18 251,"100,0",59122,cambrai
Résidences principales,15 098,"89,6",15 802,"87,5",16 114,"88,3",59122,cambrai
Résidences secondaires et logements occasionnels,134,"0,8",182,"1,0",209,"1,1",59122,cambrai
Logements vacants,1 625,"9,6",2 078,"11,5",1 928,"10,6",59122,cambrai
,,,,,,,59122,cambrai
Maisons,9 623,"57,1",9 803,"54,3",9 721,"53,3",59122,cambrai
Appartements,7 032,"41,7",8 122,"45,0",8 292,"45,4",59122,cambrai
Ensemble,9 617,"100,0",9 785,"100,0",9 874,"100,0",59155,coudekerque-branche
Résidences principales,9 175,"95,4",9 269,"94,7",9 266,"93,8",59155,coudekerque-branche
Résidences secondaires et logements occasionnels,11,"0,1",38,"0,4",80,"0,8",59155,coudekerque-branche
Logements vacants,431,"4,5",477,"4,9",528,"5,3",59155,coudekerque-branche
,,,,,,,59155,coudekerque-branche
Maisons,6 821,"70,9",6 950,"71,0",6 976,"70,7",59155,coudekerque-branche
Appartements,2 685,"27,9",2 742,"28,0",2 818,"28,5",59155,coudekerque-branche
Ensemble,9 530,"100,0",10 233,"100,0",10 671,"100,0",59163,croix
Résidences principales,8 846,"92,8",9 442,"92,3",9 608,"90,0",59163,croix
Résidences secondaires et logements occasionnels,20,"0,2",83,"0,8",151,"1,4",59163,croix
Logements vacants,664,"7,0",708,"6,9",912,"8,5",59163,croix
,,,,,,,59163,croix
Maisons,5 598,"58,7",5 570,"54,4",5 512,"51,7",59163,croix
Appartements,3 848,"40,4",4 649,"45,4",5 121,"48,0",59163,croix
Ensemble,8 447,"100,0",8 941,"100,0",9 071,"100,0",59172,denain
Résidences principales,7 559,"89,5",7 654,"85,6",7 911,"87,2",59172,denain
Résidences secondaires et logements occasionnels,4,"0,0",6,"0,1",24,"0,3",59172,denain
Logements vacants,884,"10,5",1 281,"14,3",1 137,"12,5",59172,denain
,,,,,,,59172,denain
Maisons,7 126,"84,4",7 293,"81,6",7 091,"78,2",59172,denain
Appartements,1 293,"15,3",1 576,"17,6",1 920,"21,2",59172,denain
Ensemble,20 209,"100,0",21 124,"100,0",22 041,"100,0",59178,douai
Résidences principales,18 129,"89,7",17 920,"84,8",18 301,"83,0",59178,douai
Résidences secondaires et logements occasionnels,112,"0,6",180,"0,9",296,"1,3",59178,douai
Logements vacants,1 968,"9,7",3 024,"14,3",3 444,"15,6",59178,douai
,,,,,,,59178,douai
Maisons,9 654,"47,8",9 745,"46,1",9 422,"42,7",59178,douai
Appartements,10 473,"51,8",11 215,"53,1",12 487,"56,7",59178,douai
Ensemble,43 867,"100,0",45 866,"100,0",46 826,"100,0",59183,dunkerque
Résidences principales,41 092,"93,7",41 195,"89,8",41 989,"89,7",59183,dunkerque
Résidences secondaires et logements occasionnels,723,"1,6",1 394,"3,0",1 561,"3,3",59183,dunkerque
Logements vacants,2 051,"4,7",3 278,"7,1",3 275,"7,0",59183,dunkerque
,,,,,,,59183,dunkerque
Maisons,19 019,"43,4",19 402,"42,3",19 239,"41,1",59183,dunkerque
Appartements,24 560,"56,0",25 952,"56,6",27 042,"57,8",59183,dunkerque
Ensemble,7 823,"100,0",8 273,"100,0",8 186,"100,0",59271,grande-synthe
Résidences principales,7 578,"96,9",8 042,"97,2",7 821,"95,5",59271,grande-synthe
Résidences secondaires et logements occasionnels,21,"0,3",4,"0,0",32,"0,4",59271,grande-synthe
Logements vacants,225,"2,9",227,"2,7",332,"4,1",59271,grande-synthe
,,,,,,,59271,grande-synthe
Maisons,4 074,"52,1",4 316,"52,2",4 227,"51,6",59271,grande-synthe
Appartements,3 735,"47,7",3 942,"47,7",3 943,"48,2",59271,grande-synthe
Ensemble,7 927,"100,0",8 520,"100,0",8 843,"100,0",59279,halluin
Résidences principales,7 603,"95,9",7 973,"93,6",8 367,"94,6",59279,halluin
Résidences secondaires et logements occasionnels,18,"0,2",47,"0,6",64,"0,7",59279,halluin
Logements vacants,307,"3,9",500,"5,9",411,"4,6",59279,halluin
,,,,,,,59279,halluin
Maisons,6 201,"78,2",6 464,"75,9",6 355,"71,9",59279,halluin
Appartements,1 647,"20,8",1 923,"22,6",2 373,"26,8",59279,halluin
Ensemble,9 515,"100,0",9 876,"100,0",10 421,"100,0",59295,hazebrouck
Résidences principales,8 962,"94,2",9 250,"93,7",9 696,"93,0",59295,hazebrouck
Résidences secondaires et logements occasionnels,43,"0,5",50,"0,5",105,"1,0",59295,hazebrouck
Logements vacants,509,"5,4",576,"5,8",620,"6,0",59295,hazebrouck
,,,,,,,59295,hazebrouck
Maisons,6 996,"73,5",7 154,"72,4",7 580,"72,7",59295,hazebrouck
Appartements,2 504,"26,3",2 695,"27,3",2 829,"27,1",59295,hazebrouck
Ensemble,12 929,"100,0",13 351,"100,0",13 377,"100,0",59328,lambersart
Résidences principales,12 183,"94,2",12 481,"93,5",12 500,"93,4",59328,lambersart
Résidences secondaires et logements occasionnels,34,"0,3",101,"0,8",169,"1,3",59328,lambersart
Logements vacants,712,"5,5",769,"5,8",707,"5,3",59328,lambersart
,,,,,,,59328,lambersart
Maisons,7 545,"58,4",7 507,"56,2",7 463,"55,8",59328,lambersart
Appartements,5 278,"40,8",5 683,"42,6",5 769,"43,1",59328,lambersart
Ensemble,126 235,"100,0",135 811,"100,0",143 551,"100,0",59350,lille
Résidences principales,116 226,"92,1",121 332,"89,3",126 021,"87,8",59350,lille
Résidences secondaires et logements occasionnels,1 383,"1,1",2 557,"1,9",5 154,"3,6",59350,lille
Logements vacants,8 626,"6,8",11 922,"8,8",12 376,"8,6",59350,lille
,,,,,,,59350,lille
Maisons,29 033,"23,0",29 431,"21,7",28 867,"20,1",59350,lille
Appartements,96 220,"76,2",104 975,"77,3",113 277,"78,9",59350,lille
Ensemble,9 559,"100,0",10 636,"100,0",11 927,"100,0",59360,loos
Résidences principales,9 025,"94,4",9 852,"92,6",10 881,"91,2",59360,loos
Résidences secondaires et logements occasionnels,7,"0,1",81,"0,8",155,"1,3",59360,loos
Logements vacants,527,"5,5",703,"6,6",892,"7,5",59360,loos
,,,,,,,59360,loos
Maisons,4 391,"45,9",4 493,"42,2",4 597,"38,5",59360,loos
Appartements,4 944,"51,7",6 039,"56,8",7 208,"60,4",59360,loos
Ensemble,11 911,"100,0",12 146,"100,0",12 997,"100,0",59368,la-madeleine
Résidences principales,11 014,"92,5",10 884,"89,6",11 480,"88,3",59368,la-madeleine
Résidences secondaires et logements occasionnels,217,"1,8",251,"2,1",392,"3,0",59368,la-madeleine
Logements vacants,680,"5,7",1 012,"8,3",1 125,"8,7",59368,la-madeleine
,,,,,,,59368,la-madeleine
Maisons,3 478,"29,2",3 675,"30,3",3 662,"28,2",59368,la-madeleine
Appartements,8 005,"67,2",8 241,"67,8",9 200,"70,8",59368,la-madeleine
Ensemble,17 917,"100,0",18 432,"100,0",19 282,"100,0",59378,marcq-en-baroeul
Résidences principales,17 007,"94,9",17 102,"92,8",17 835,"92,5",59378,marcq-en-baroeul
Résidences secondaires et logements occasionnels,91,"0,5",173,"0,9",244,"1,3",59378,marcq-en-baroeul
Logements vacants,820,"4,6",1 158,"6,3",1 202,"6,2",59378,marcq-en-baroeul
,,,,,,,59378,marcq-en-baroeul
Maisons,10 055,"56,1",10 308,"55,9",10 142,"52,6",59378,marcq-en-baroeul
Appartements,7 743,"43,2",8 014,"43,5",9 046,"46,9",59378,marcq-en-baroeul
Ensemble,13 529,"100,0",14 183,"100,0",14 153,"100,0",59392,maubeuge
Résidences principales,12 399,"91,7",12 655,"89,2",12 592,"89,0",59392,maubeuge
Résidences secondaires et logements occasionnels,97,"0,7",110,"0,8",201,"1,4",59392,maubeuge
Logements vacants,1 033,"7,6",1 419,"10,0",1 361,"9,6",59392,maubeuge
,,,,,,,59392,maubeuge
Maisons,7 751,"57,3",7 852,"55,4",8 070,"57,0",59392,maubeuge
Appartements,5 681,"42,0",6 173,"43,5",5 965,"42,1",59392,maubeuge
Ensemble,9 519,"100,0",9 606,"100,0",9 791,"100,0",59410,mons-en-baroeul
Résidences principales,8 953,"94,1",8 717,"90,7",9 074,"92,7",59410,mons-en-baroeul
Résidences secondaires et logements occasionnels,27,"0,3",39,"0,4",86,"0,9",59410,mons-en-baroeul
Logements vacants,538,"5,6",850,"8,8",630,"6,4",59410,mons-en-baroeul
,,,,,,,59410,mons-en-baroeul
Maisons,3 948,"41,5",4 146,"43,2",4 185,"42,7",59410,mons-en-baroeul
Appartements,5 482,"57,6",5 362,"55,8",5 574,"56,9",59410,mons-en-baroeul
Ensemble,39 441,"100,0",40 610,"100,0",42 743,"100,0",59512,roubaix
Résidences principales,35 256,"89,4",35 823,"88,2",38 176,"89,3",59512,roubaix
Résidences secondaires et logements occasionnels,90,"0,2",121,"0,3",336,"0,8",59512,roubaix
Logements vacants,4 094,"10,4",4 666,"11,5",4 231,"9,9",59512,roubaix
,,,,,,,59512,roubaix
Maisons,18 633,"47,2",18 187,"44,8",18 391,"43,0",59512,roubaix
Appartements,20 056,"50,9",22 064,"54,3",23 989,"56,1",59512,roubaix
Ensemble,38 815,"100,0",41 970,"100,0",45 328,"100,0",59599,tourcoing
Résidences principales,36 243,"93,4",38 265,"91,2",40 987,"90,4",59599,tourcoing
Résidences secondaires et logements occasionnels,81,"0,2",120,"0,3",268,"0,6",59599,tourcoing
Logements vacants,2 491,"6,4",3 585,"8,5",4 073,"9,0",59599,tourcoing
,,,,,,,59599,tourcoing
Maisons,23 088,"59,5",23 701,"56,5",24 189,"53,4",59599,tourcoing
Appartements,15 344,"39,5",17 952,"42,8",20 820,"45,9",59599,tourcoing
Ensemble,23 991,"100,0",25 285,"100,0",26 318,"100,0",59606,valenciennes
Résidences principales,21 383,"89,1",22 023,"87,1",22 187,"84,3",59606,valenciennes
Résidences secondaires et logements occasionnels,482,"2,0",292,"1,2",765,"2,9",59606,valenciennes
Logements vacants,2 125,"8,9",2 970,"11,7",3 366,"12,8",59606,valenciennes
,,,,,,,59606,valenciennes
Maisons,9 988,"41,6",10 209,"40,4",10 178,"38,7",59606,valenciennes
Appartements,13 778,"57,4",14 882,"58,9",15 903,"60,4",59606,valenciennes
Ensemble,8 352,"100,0",9 224,"100,0",10 054,"100,0",59646,wasquehal
Résidences principales,8 043,"96,3",8 772,"95,1",9 435,"93,8",59646,wasquehal
Résidences secondaires et logements occasionnels,21,"0,3",25,"0,3",71,"0,7",59646,wasquehal
Logements vacants,289,"3,5",427,"4,6",548,"5,5",59646,wasquehal
,,,,,,,59646,wasquehal
Maisons,5 807,"69,5",5 892,"63,9",5 876,"58,4",59646,wasquehal
Appartements,2 355,"28,2",3 162,"34,3",4 006,"39,8",59646,wasquehal
Ensemble,16 986,"100,0",17 309,"100,0",17 566,"100,0",59650,wattrelos
Résidences principales,15 939,"93,8",16 412,"94,8",16 930,"96,4",59650,wattrelos
Résidences secondaires et logements occasionnels,21,"0,1",36,"0,2",51,"0,3",59650,wattrelos
Logements vacants,1 026,"6,0",861,"5,0",585,"3,3",59650,wattrelos
,,,,,,,59650,wattrelos
Maisons,12 761,"75,1",12 793,"73,9",12 632,"71,9",59650,wattrelos
Appartements,4 024,"23,7",4 183,"24,2",4 643,"26,4",59650,wattrelos
Ensemble,25 918,"100,0",27 962,"100,0",28 895,"100,0",60057,beauvais
Résidences principales,23 498,"90,7",24 609,"88,0",25 863,"89,5",60057,beauvais
Résidences secondaires et logements occasionnels,219,"0,8",372,"1,3",298,"1,0",60057,beauvais
Logements vacants,2 201,"8,5",2 982,"10,7",2 734,"9,5",60057,beauvais
,,,,,,,60057,beauvais
Maisons,8 793,"33,9",9 139,"32,7",9 283,"32,1",60057,beauvais
Appartements,16 902,"65,2",18 501,"66,2",19 321,"66,9",60057,beauvais
Ensemble,20 946,"100,0",21 237,"100,0",21 798,"100,0",60159,compiegne
Résidences principales,18 906,"90,3",19 356,"91,1",19 567,"89,8",60159,compiegne
Résidences secondaires et logements occasionnels,389,"1,9",300,"1,4",404,"1,9",60159,compiegne
Logements vacants,1 651,"7,9",1 582,"7,4",1 827,"8,4",60159,compiegne
,,,,,,,60159,compiegne
Maisons,4 578,"21,9",4 438,"20,9",4 538,"20,8",60159,compiegne
Appartements,16 209,"77,4",16 610,"78,2",16 993,"78,0",60159,compiegne
Ensemble,13 337,"100,0",13 646,"100,0",13 996,"100,0",60175,creil
Résidences principales,12 429,"93,2",12 650,"92,7",13 064,"93,3",60175,creil
Résidences secondaires et logements occasionnels,60,"0,4",49,"0,4",72,"0,5",60175,creil
Logements vacants,848,"6,4",947,"6,9",860,"6,1",60175,creil
,,,,,,,60175,creil
Maisons,1 938,"14,5",2 023,"14,8",2 052,"14,7",60175,creil
Appartements,11 103,"83,3",11 183,"82,0",11 467,"81,9",60175,creil
Ensemble,7 352,"100,0",7 629,"100,0",8 595,"100,0",60463,nogent-sur-oise
Résidences principales,6 928,"94,2",7 104,"93,1",8 043,"93,6",60463,nogent-sur-oise
Résidences secondaires et logements occasionnels,35,"0,5",55,"0,7",36,"0,4",60463,nogent-sur-oise
Logements vacants,389,"5,3",471,"6,2",516,"6,0",60463,nogent-sur-oise
,,,,,,,60463,nogent-sur-oise
Maisons,2 970,"40,4",3 152,"41,3",3 358,"39,1",60463,nogent-sur-oise
Appartements,4 345,"59,1",4 436,"58,2",5 196,"60,5",60463,nogent-sur-oise
Ensemble,14 687,"100,0",14 886,"100,0",15 129,"100,0",61001,alencon
Résidences principales,13 276,"90,4",13 051,"87,7",13 476,"89,1",61001,alencon
Résidences secondaires et logements occasionnels,160,"1,1",201,"1,4",153,"1,0",61001,alencon
Logements vacants,1 251,"8,5",1 633,"11,0",1 501,"9,9",61001,alencon
,,,,,,,61001,alencon
Maisons,5 724,"39,0",6 076,"40,8",5 950,"39,3",61001,alencon
Appartements,8 875,"60,4",8 768,"58,9",9 015,"59,6",61001,alencon
Ensemble,22 373,"100,0",22 866,"100,0",24 160,"100,0",62041,arras
Résidences principales,20 356,"91,0",20 135,"88,1",21 329,"88,3",62041,arras
Résidences secondaires et logements occasionnels,178,"0,8",305,"1,3",396,"1,6",62041,arras
Logements vacants,1 839,"8,2",2 427,"10,6",2 436,"10,1",62041,arras
,,,,,,,62041,arras
Maisons,7 940,"35,5",7 899,"34,5",8 082,"33,5",62041,arras
Appartements,14 214,"63,5",14 873,"65,0",15 951,"66,0",62041,arras
Ensemble,13 317,"100,0",14 112,"100,0",14 233,"100,0",62119,bethune
Résidences principales,11 960,"89,8",12 155,"86,1",12 353,"86,8",62119,bethune
Résidences secondaires et logements occasionnels,82,"0,6",106,"0,8",174,"1,2",62119,bethune
Logements vacants,1 275,"9,6",1 851,"13,1",1 706,"12,0",62119,bethune
,,,,,,,62119,bethune
Maisons,6 865,"51,6",7 121,"50,5",7 193,"50,5",62119,bethune
Appartements,6 350,"47,7",6 833,"48,4",6 894,"48,4",62119,bethune
Ensemble,22 139,"100,0",23 112,"100,0",23 678,"100,0",62160,boulogne-sur-mer
Résidences principales,19 927,"90,0",20 023,"86,6",20 591,"87,0",62160,boulogne-sur-mer
Résidences secondaires et logements occasionnels,279,"1,3",335,"1,4",639,"2,7",62160,boulogne-sur-mer
Logements vacants,1 933,"8,7",2 755,"11,9",2 447,"10,3",62160,boulogne-sur-mer
,,,,,,,62160,boulogne-sur-mer
Maisons,6 071,"27,4",6 143,"26,6",6 300,"26,6",62160,boulogne-sur-mer
Appartements,15 918,"71,9",16 929,"73,2",17 191,"72,6",62160,boulogne-sur-mer
Ensemble,10 921,"100,0",10 617,"100,0",10 863,"100,0",62178,bruay-la-buissiere
Résidences principales,10 235,"93,7",9 798,"92,3",9 783,"90,1",62178,bruay-la-buissiere
Résidences secondaires et logements occasionnels,54,"0,5",51,"0,5",102,"0,9",62178,bruay-la-buissiere
Logements vacants,632,"5,8",767,"7,2",978,"9,0",62178,bruay-la-buissiere
,,,,,,,62178,bruay-la-buissiere
Maisons,8 703,"79,7",8 427,"79,4",8 478,"78,1",62178,bruay-la-buissiere
Appartements,2 055,"18,8",1 808,"17,0",2 114,"19,5",62178,bruay-la-buissiere
Ensemble,35 016,"100,0",36 061,"100,0",36 431,"100,0",62193,calais
Résidences principales,31 741,"90,6",32 110,"89,0",31 949,"87,7",62193,calais
Résidences secondaires et logements occasionnels,496,"1,4",527,"1,5",743,"2,0",62193,calais
Logements vacants,2 779,"7,9",3 425,"9,5",3 739,"10,3",62193,calais
,,,,,,,62193,calais
Maisons,18 060,"51,6",18 065,"50,1",18 239,"50,1",62193,calais
Appartements,16 534,"47,2",17 576,"48,7",17 763,"48,8",62193,calais
Ensemble,11 537,"100,0",12 294,"100,0",12 694,"100,0",62427,henin-beaumont
Résidences principales,10 778,"93,4",11 033,"89,7",11 311,"89,1",62427,henin-beaumont
Résidences secondaires et logements occasionnels,51,"0,4",54,"0,4",85,"0,7",62427,henin-beaumont
Logements vacants,708,"6,1",1 207,"9,8",1 298,"10,2",62427,henin-beaumont
,,,,,,,62427,henin-beaumont
Maisons,8 568,"74,3",8 866,"72,1",8 957,"70,6",62427,henin-beaumont
Appartements,2 923,"25,3",3 383,"27,5",3 719,"29,3",62427,henin-beaumont
Ensemble,16 990,"100,0",16 968,"100,0",17 685,"100,0",62498,lens
Résidences principales,15 249,"89,8",13 809,"81,4",15 531,"87,8",62498,lens
Résidences secondaires et logements occasionnels,70,"0,4",127,"0,7",181,"1,0",62498,lens
Logements vacants,1 671,"9,8",3 032,"17,9",1 973,"11,2",62498,lens
,,,,,,,62498,lens
Maisons,10 513,"61,9",10 539,"62,1",10 245,"57,9",62498,lens
Appartements,6 351,"37,4",6 306,"37,2",7 330,"41,4",62498,lens
Ensemble,13 439,"100,0",13 506,"100,0",13 828,"100,0",62510,lievin
Résidences principales,12 778,"95,1",12 784,"94,7",12 919,"93,4",62510,lievin
Résidences secondaires et logements occasionnels,29,"0,2",19,"0,1",53,"0,4",62510,lievin
Logements vacants,633,"4,7",703,"5,2",856,"6,2",62510,lievin
,,,,,,,62510,lievin
Maisons,10 043,"74,7",10 157,"75,2",10 351,"74,9",62510,lievin
Appartements,3 358,"25,0",3 343,"24,7",3 383,"24,5",62510,lievin
Ensemble,84 091,"100,0",87 351,"100,0",91 873,"100,0",63113,clermont-ferrand
Résidences principales,74 614,"88,7",76 438,"87,5",80 150,"87,2",63113,clermont-ferrand
Résidences secondaires et logements occasionnels,1 947,"2,3",2 853,"3,3",4 303,"4,7",63113,clermont-ferrand
Logements vacants,7 530,"9,0",8 061,"9,2",7 420,"8,1",63113,clermont-ferrand
,,,,,,,63113,clermont-ferrand
Maisons,14 982,"17,8",15 088,"17,3",15 153,"16,5",63113,clermont-ferrand
Appartements,67 916,"80,8",71 237,"81,6",75 236,"81,9",63113,clermont-ferrand
Ensemble,8 991,"100,0",9 463,"100,0",10 136,"100,0",63124,cournon-d-auvergne
Résidences principales,8 519,"94,8",8 956,"94,6",9 455,"93,3",63124,cournon-d-auvergne
Résidences secondaires et logements occasionnels,81,"0,9",104,"1,1",171,"1,7",63124,cournon-d-auvergne
